id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
127,St Luke's Medical Center,"Phoenix, AZ",,Proprietary,217,262,5,139,5,1
128,Scottsdale Osborn Medical Center,"Scottsdale, AZ",,Proprietary,459,400,73,337,178,50
129,Canyon Vista Medical Center,"Sierra Vista, AZ",,Unknown,219,234,28,174,78,21
130,Kingman Regional Medical Center,"Kingman, AZ",,Government,355,562,47,311,506,31
131,Banner Boswell Medical Center,"Sun City, AZ",,Unknown,442,670,21,287,190,8
132,Summit Healthcare Regional Medical Center,"Show Low, AZ",,Private,108,170,44,81,113,5
133,Banner - University Medical Center Tucson Campus,"Tucson, AZ",,Private,156,195,47,20,34,42
134,Banner Desert Medical Center,"Mesa, AZ",,Private,473,411,11,303,100,8
135,Mt. Graham Regional Medical Center,"Safford, AZ",,Government,312,273,16,213,108,14
136,Havasu Regional Medical Center,"Lake Havasu City, AZ",,Proprietary,145,275,34,61,20,32
137,Fort Defiance Indian Hospital,"Fort Defiance, AZ",,Government,322,372,10,322,269,7
138,Tuba City Regional Health Care Corporation,"Tuba City, AZ",,Unknown,324,300,49,142,87,20
139,Sells Hospital,"Sells, AZ",,Unknown,80,656,66,67,396,64
140,San Carlos Apache Healthcare,"Peridot, AZ",,Government,327,364,47,136,130,16
141,Phoenix Indian Medical Center,"Phoenix, AZ",,Government,372,423,73,44,129,44
142,Abrazo Scottsdale Campus,"Phoenix, AZ",,Proprietary,142,272,66,58,72,24
143,Chinle Comprehensive Health Care Facility,"Chinle, AZ",,Government,309,219,1,114,127,1
144,Northwest Medical Center,"Tucson, AZ",,Proprietary,34,176,52,11,75,17
145,Scottsdale Shea Medical Center,"Scottsdale, AZ",,Proprietary,172,691,63,14,463,55
146,Banner Baywood Medical Center,"Mesa, AZ",,Private,228,330,19,42,6,9
147,Banner Thunderbird Medical Center,"Glendale, AZ",,Government,378,120,40,57,82,21
148,Honorhealth Deer Valley Medical Center,"Phoenix, AZ",,Private,188,228,74,106,55,66
149,Banner Del E. Webb Medical Center,"Sun City West, AZ",,Private,374,124,71,70,30,48
150,Abrazo Arrowhead Campus,"Glendale, AZ",,Proprietary,334,294,9,231,265,0
151,Western Arizona Regional Medical Center,"Bullhead City, AZ",,Proprietary,499,355,55,214,265,17
152,Mayo Clinic Hospital,"Phoenix, AZ",,Private,314,587,44,187,120,22
153,Banner Heart Hospital,"Mesa, AZ",,Private,424,295,34,124,72,15
154,Arizona Spine And Joint Hospital,"Mesa, AZ",,Proprietary,274,406,46,213,355,8
155,"Core Institute Specialty Hospital, The","Phoenix, AZ",,Proprietary,429,202,28,297,136,20
156,Abrazo West Campus,"Goodyear, AZ",,Proprietary,150,430,61,127,237,38
157,Banner-university Medical Center South Campus,"Tucson, AZ",,Private,39,626,68,21,139,47
158,Arizona Specialty Hospital,"Chandler, AZ",,Proprietary,11,516,77,2,0,18
159,Whiteriver Phs Indian Hospital,"Whiteriver, AZ",,Government,172,142,63,123,26,28
160,Oro Valley Hospital,"Oro Valley, AZ",,Proprietary,410,569,57,55,232,17
161,Banner Estrella Medical Center,"Phoenix, AZ",,Private,393,380,77,382,355,50
162,Valley View Medical Center,"Fort Mohave, AZ",,Proprietary,2,347,20,1,62,10
163,Mercy Gilbert Medical Center,"Gilbert, AZ",,Church,378,277,17,220,141,1
164,"Mountain Vista Medical Center, Lp","Mesa, AZ",,Proprietary,464,281,51,329,165,30
165,Banner Gateway Medical Center,"Gilbert, AZ",,Unknown,489,649,46,159,478,16
166,Scottsdale Thompson Peak Medical Center,"Scottsdale, AZ",,Proprietary,253,378,47,218,40,9
167,Banner Ironwood Medical Center,"Queen Creek, AZ",,Private,465,112,59,401,2,59
168,O.a.s.i.s. Hospital,"Phoenix, AZ",,Private,409,339,28,107,233,25
169,Banner Goldfield Medical Center,"Apache Junction, AZ",,Unknown,309,411,18,16,375,8
170,Dignity Health - Arizona General Hospital,"Laveen, AZ",,Proprietary,270,267,50,88,251,18
171,Santa Cruz Valley Regional Hospital,"Green Valley, AZ",,Proprietary,143,588,42,140,474,31
172,Western Regional Medical Center,"Goodyear, AZ",,Proprietary,99,309,21,30,96,14
173,Wickenburg Community Hospital,"Wickenburg, AZ",,Private,406,463,29,207,388,6
174,Benson Hospital,"Benson, AZ",,Private,452,250,54,185,23,29
175,"Northern Cochise Community Hospital, Inc.","Willcox, AZ",,Government,447,90,22,63,89,20
176,Page Hospital,"Page, AZ",,Government,266,356,47,259,350,34
177,Hopi Health Care Center,"Polacca, AZ",,Government,86,288,11,2,63,4
178,Parker Indian Health Center,"Parker, AZ",,Government,388,456,16,198,21,11
179,Huhu Kam Memorial Hospital,"Sacaton, AZ",,Government,402,424,28,351,189,8
180,Sage Memorial Hospital,"Ganado, AZ",,Private,497,173,30,484,172,1
181,Little Colorado Medical Center,"Winslow, AZ",,Private,177,354,33,61,191,21
182,Copper Queen Community Hospital,"Bisbee, AZ",,Private,4,504,77,1,113,51
183,Holy Cross Hospital,"Nogales, AZ",,Proprietary,480,481,53,58,151,40
184,Cobre Valley Regional Medical Center,"Globe, AZ",,Private,14,389,76,4,318,25
185,White Mountain Regional Medical Center,"Springerville, AZ",,Private,328,478,33,263,107,5
186,La Paz Regional Hospital,"Parker, AZ",,Private,475,137,51,48,59,12
187,Banner Payson Medical Center,"Payson, AZ",,Unknown,57,494,68,53,192,51
188,Phoenix Children's Hospital,"Phoenix, AZ",,Private,342,277,16,219,264,6
189,"Hacienda Children's Hospital, Inc.","Mesa, AZ",,Proprietary,216,497,39,23,347,28
190,Siloam Springs Regional Hospital,"Siloam Springs, AR",,Unknown,415,525,55,113,220,53
191,Johnson Regional Medical Center,"Clarksville, AR",,Government,454,584,34,125,334,6
192,Washington Regional Medical Center,"Fayetteville, AR",,Private,256,444,25,130,336,7
193,Chi-st Vincent Infirmary,"Little Rock, AR",,Private,440,364,50,51,259,20
194,Mercy Hospital Northwest Arkansas,"Rogers, AR",,Church,20,48,70,20,32,47
195,Chambers Memorial Hospital,"Danville, AR",,Private,83,282,75,74,22,29
196,White County Medical Center,"Searcy, AR",,Private,348,105,61,185,46,38
197,Mena Regional Health System,"Mena, AR",,Government,363,594,6,80,505,3
198,Uams Medical Center,"Little Rock, AR",,Government,33,508,21,10,73,20
199,North Arkansas Regional Medical Center,"Harrison, AR",,Unknown,416,394,14,174,123,11
200,Sparks Medical Center - Van Buren,"Van Buren, AR",,Proprietary,115,386,74,66,93,13
201,Forrest City Medical Center,"Forrest City, AR",,Proprietary,94,658,2,54,176,1
202,St Bernards Medical Center,"Jonesboro, AR",,Private,6,52,1,6,24,1
203,Northwest Medical Center-springdale,"Springdale, AR",,Proprietary,367,322,47,1,51,6
204,Chi St. Vincent Hospital Hot Springs,"Hot Springs, AR",,Church,220,278,43,140,232,4
205,Baxter Regional Medical Center,"Mountain Home, AR",,Private,463,694,20,431,375,18
206,Conway Regional Medical Center,"Conway, AR",,Private,21,192,28,6,120,8
207,Baptist Health Medical Center North Little Rock,"North Little Rock, AR",,Private,309,227,1,164,99,0
208,Arkansas Methodist Medical Center,"Paragould, AR",,Private,493,369,44,227,235,3
209,St Marys Regional Medical Center,"Russellville, AR",,Proprietary,19,94,64,8,42,16
210,Five Rivers Medical Center,"Pocahontas, AR",,Private,351,279,57,124,111,43
211,Ouachita County Medical Center,"Camden, AR",,Private,29,82,18,20,71,7
212,Drew Memorial Hospital,"Monticello, AR",,Private,444,398,48,419,326,30
213,Sparks Regional Medical Center,"Fort Smith, AR",,Proprietary,435,303,27,59,80,26
214,Mercy Hospital Fort Smith,"Fort Smith, AR",,Private,474,253,50,12,24,47
215,Magnolia Hospital,"Magnolia, AR",,Government,159,201,64,92,2,37
216,Great River Medical Center,"Blytheville, AR",,Unknown,281,568,57,239,259,35
217,Jefferson Regional Medical Center,"Pine Bluff, AR",,Private,15,238,67,4,131,1
218,Baptist Health Medical Center-stuttgart,"Stuttgart, AR",,Private,287,457,42,69,208,7
219,North Metro Medical Center,"Jacksonville, AR",,Proprietary,301,112,49,301,4,46
220,Baptist Health Medical Center-hot Springs County,"Malvern, AR",,Private,112,175,49,109,42,22
221,National Park Medical Center,"Hot Springs, AR",,Proprietary,406,298,67,343,229,62
222,Saline Memorial Hospital,"Benton, AR",,Proprietary,146,499,34,65,307,0
223,Helena Regional Medical Center,"Helena, AR",,Proprietary,291,191,27,23,100,5
224,Medical Center Of South Arkansas,"El Dorado, AR",,Proprietary,233,510,8,52,131,1
225,Baptist Health Medical Center-little Rock,"Little Rock, AR",,Private,181,219,32,6,43,30
226,Nea Baptist Memorial Hospital,"Jonesboro, AR",,Private,462,286,58,164,23,15
227,White River Medical Center,"Batesville, AR",,Private,101,390,2,92,226,2
228,Levi Hospital,"Hot Springs, AR",,Private,289,52,51,259,44,21
229,"Arkansas Heart Hospital, Llc","Little Rock, AR",,Proprietary,31,381,64,21,376,16
230,St Vincent Medical Center/north,"Sherwood, AR",,Church,124,541,30,109,126,22
231,Arkansas Surgical Hospital,"No Little Rock, AR",,Proprietary,16,417,46,16,51,33
232,Northwest Health Physicians Specialty Hospital,"Fayetteville, AR",,Proprietary,465,674,44,44,232,33
233,Wadley Regional Medical Center At Hope,"Hope, AR",,Proprietary,76,364,10,75,107,2
234,Baptist Health Medical Center-conway,"Conway, AR",,Private,73,589,28,11,198,4
235,Arkansas Continued Care Hospital Of Jonesboro,"Jonesboro, AR",,Proprietary,121,246,77,53,43,45
236,North Logan Mercy Hospital,"Paris, AR",,Church,104,150,17,68,109,5
237,River Valley Medical Center,"Dardanelle, AR",,Proprietary,349,647,56,108,5,28
238,Mercy Hospital Turner Memorial,"Ozark, AR",,Private,429,396,3,106,121,2
239,"Eureka Springs Hospital, Llc","Eureka Springs, AR",,Proprietary,244,164,47,227,160,36
240,Mercy Hospital Waldron,"Waldron, AR",,Private,494,335,42,279,213,16
241,"Izard County Medical Center, Llc","Calico Rock, AR",,Private,178,444,15,171,87,2
242,Crossridge Community Hospital,"Wynne, AR",,Private,61,85,40,30,17,35
243,Mcgehee Hospital,"Mcgehee, AR",,Private,473,86,1,140,75,0
244,Lawrence Memorial Hospital,"Walnut Ridge, AR",,Government,364,279,56,251,128,5
245,Stone County Medical Center,"Mountain View, AR",,Private,498,678,4,58,297,0
246,Howard Memorial Hospital,"Nashville, AR",,Private,74,193,36,57,87,12
247,Baptist Health Medical Center Heber Spings,"Heber Springs, AR",,Private,54,75,38,7,27,34
248,Ozark Health,"Clinton, AR",,Private,77,279,47,67,121,39
249,"Dewitt Hospital & Nursing Home, Inc","De Witt, AR",,Private,147,490,26,92,449,21
250,South Missississpi County Regional Medical Center,"Osceola, AR",,Government,377,84,8,167,33,5
251,Dallas County Medical Center,"Fordyce, AR",,Government,141,539,8,116,139,5
252,Mercy Hospital Booneville,"Booneville, AR",,Private,206,428,39,185,33,0
253,"De Queen Medical Center, Inc","De Queen, AR",,Proprietary,481,529,28,179,250,5
254,Little River Memorial Hospital,"Ashdown, AR",,Unknown,76,477,37,65,129,26
255,Baptist Health Medical Center-arkadelphia,"Arkadelphia, AR",,Private,185,168,76,181,98,14
256,Fulton County Hospital,"Salem, AR",,Unknown,62,410,70,53,192,55
257,Ashley County Medical Center,"Crossett, AR",,Private,49,385,14,46,283,10
258,Chi St Vincent Morrilton,"Morrilton, AR",,Church,67,292,19,65,280,1
259,Delta Memorial Hospital,"Dumas, AR",,Private,481,646,8,252,257,8
260,Bradley County Medical Center,"Warren, AR",,Private,188,334,70,27,158,11
261,Chicot Memorial Medical Center,"Lake Village, AR",,Private,180,258,8,39,124,0
262,Mercy Hospital Berryville,"Berryville, AR",,Church,3,683,66,2,532,53
263,Piggott Community Hospital,"Piggott, AR",,Government,284,318,27,153,105,5
264,Ozarks Community Hospital Of Gravette,"Gravette, AR",,Proprietary,361,357,55,12,274,14
265,Arkansas Children's Hospital,"Little Rock, AR",,Private,160,565,64,23,299,11
266,"Arkansas Children's Northwest, Inc","Springdale, AR",,Private,465,538,18,246,524,16
267,St Rose Hospital,"Hayward, CA",,Church,33,629,27,19,554,25
268,St Joseph Hospital,"Eureka, CA",,Private,41,147,41,17,49,30
269,Mills-peninsula Medical Center,"Burlingame, CA",,Private,365,337,1,114,113,1
270,California Pacific Medical Ctr-davies Campus Hosp,"San Francisco, CA",,Unknown,214,381,33,64,184,14
271,Queen Of The Valley Medical Center,"Napa, CA",,Church,403,132,5,333,36,5
272,Adventist Health St Helena,"Saint Helena, CA",,Private,239,692,59,161,646,22
273,Sutter Amador Hospital,"Jackson, CA",,Private,192,468,43,10,203,42
274,Mercy General Hospital,"Sacramento, CA",,Church,441,217,17,52,145,17
275,Riverside Community Hospital,"Riverside, CA",,Proprietary,363,400,42,275,73,26
276,Paradise Valley Hospital,"National City, CA",,Proprietary,387,532,73,170,309,56
277,Uc San Diego Health Hillcrest - Hillcrest Med Ctr,"San Diego, CA",,Unknown,89,355,25,26,287,8
278,Grossmont Hospital,"La Mesa, CA",,Government,178,337,7,146,271,0
279,Mad River Community Hospital,"Arcata, CA",,Proprietary,315,185,4,155,60,2
280,Oroville Hospital,"Oroville, CA",,Private,466,535,62,180,376,8
281,Bakersfield Memorial Hospital,"Bakersfield, CA",,Private,336,96,28,261,86,16
282,Santa Clara Valley Medical Center,"San Jose, CA",,Government,11,111,4,1,44,4
283,Enloe Medical Center,"Chico, CA",,Private,52,123,64,4,65,58
284,Lac/olive View-ucla Medical Center,"Sylmar, CA",,Unknown,218,452,54,82,363,46
285,St Elizabeth Community Hospital,"Red Bluff, CA",,Church,248,197,65,180,56,29
286,Alta Bates Summit Medical Center,"Oakland, CA",,Private,4,70,53,4,66,47
287,El Centro Regional Medical Center,"El Centro, CA",,Government,425,214,24,120,0,21
288,California Pacific Medical Ctr-pacific Campus Hosp,"San Francisco, CA",,Private,132,614,53,30,523,20
289,San Gorgonio Memorial Hospital,"Banning, CA",,Government,474,540,26,362,126,6
290,California Pacific Medical Ctr - St. Luke's Campus,"San Francisco, CA",,Church,4,201,3,2,180,0
291,Antelope Valley Hospital,"Lancaster, CA",,Government,493,584,18,26,11,8
292,Kaweah Delta Medical Center,"Visalia, CA",,Government,174,477,48,171,391,8
293,Glendale Mem Hospital & Hlth Center,"Glendale, CA",,Private,18,533,63,15,92,54
294,Community Regional Medical Center,"Fresno, CA",,Private,169,633,45,85,610,18
295,Hollywood Presbyterian Medical Center,"Los Angeles, CA",,Proprietary,427,522,25,273,438,21
296,Oak Valley Hospital District,"Oakdale, CA",,Government,105,558,29,15,103,25
297,St Joseph Hospital,"Orange, CA",,Church,154,509,39,5,323,30
298,Kaiser Foundation Hospital - South San Francisco,"South San Francisco, CA",,Private,112,221,65,52,152,40
299,Kaiser Foundation Hospital-santa Clara,"Santa Clara, CA",,Unknown,354,456,39,175,338,29
300,Kaiser Foundation Hospital - Walnut Creek,"Walnut Creek, CA",,Unknown,34,210,45,5,53,37
301,Kaiser Foundation Hospital And Rehab Center,"Vallejo, CA",,Unknown,401,115,5,337,68,3
302,Kaiser Foundation Hospital - Oakland/richmond,"Oakland, CA",,Unknown,38,558,70,32,154,23
303,Kaiser Foundation Hospital - San Francisco,"San Francisco, CA",,Unknown,314,205,43,178,26,40
304,Scripps Mercy Hospital,"San Diego, CA",,Private,128,649,3,85,637,0
305,Providence Little Co Of Mary Med Ctr San Pedro,"San Pedro, CA",,Private,208,439,19,11,394,9
306,St Johns Regional Medical Center,"Oxnard, CA",,Private,166,352,58,10,225,23
307,St Joseph's Medical Center Of Stockton,"Stockton, CA",,Church,67,371,60,36,311,9
308,Community Hospital Of San Bernardino,"San Bernardino, CA",,Private,341,456,23,177,13,23
309,Sonoma Valley Hospital,"Sonoma, CA",,Government,250,519,8,40,71,8
310,Community Hospital Of Huntington Park,"Huntington Park, CA",,Proprietary,85,343,65,30,253,29
311,Saint Agnes Medical Center,"Fresno, CA",,Church,5,69,62,3,39,45
312,"West Covina Medical Center, Inc","West Covina, CA",,Proprietary,216,562,1,103,506,1
313,San Antonio Regional Hospital,"Upland, CA",,Unknown,69,112,5,53,51,5
314,Sharp Memorial Hospital,"San Diego, CA",,Private,409,525,39,162,366,32
315,Sutter Solano Medical Center,"Vallejo, CA",,Private,470,67,47,418,16,5
316,Parkview Community Hospital Medical Center,"Riverside, CA",,Private,41,231,55,41,209,18
317,White Memorial Medical Center,"Los Angeles, CA",,Church,275,431,47,139,292,20
318,Saint Francis Medical Center,"Lynwood, CA",,Church,203,430,55,153,168,43
319,Marian Regional Medical Center,"Santa Maria, CA",,Church,393,119,65,300,45,36
320,"Sutter Medical Center, Sacramento","Sacramento, CA",,Private,457,255,38,280,192,8
321,Lompoc Valley Medical Center,"Lompoc, CA",,Government,63,350,60,20,173,8
322,Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,"Santa Monica, CA",,Private,61,438,71,58,352,14
323,San Mateo Medical Center,"San Mateo, CA",,Government,254,372,63,133,303,55
324,Palomar Health Downtown Campus,"Escondido, CA",,Government,81,440,25,26,62,2
325,Northridge Hospital Medical Center,"Northridge, CA",,Private,204,379,63,189,252,22
326,Doctors Hospital Of Manteca,"Manteca, CA",,Unknown,287,485,64,259,365,30
327,Adventist Health Hanford,"Hanford, CA",,Church,95,471,55,20,158,12
328,Dameron Hospital,"Stockton, CA",,Unknown,8,102,21,2,71,20
